n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,CD(aabb),init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 6.00, 1.00,1, 1.00, 17.00, 3, 0.00, 0.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 0,
200, 116.00, 15.00,21, 22.00, 1077.00, 200, 14.00, 8.00, 27.00, 28.00, 26.00, 200, 1328, 718, 718, 556,
150, 93.00, 11.00,16, 16.00, 805.00, 149, 7.00, 7.00, 15.00, 16.00, 15.00, 149, 727, 423, 424, 344,
30, 23.00, 2.00,4, 3.00, 130.00, 24, 1.00, 1.00, 1.00, 1.00, 1.00, 24, 42, 31, 31, 24,
50, 46.00, 3.00,5, 6.00, 248.00, 46, 1.00, 2.00, 1.00, 2.00, 1.00, 46, 66, 43, 43, 35,
130, 73.00, 9.00,13, 14.00, 699.00, 130, 5.00, 6.00, 10.00, 11.00, 10.00, 130, 507, 276, 276, 223,
110, 69.00, 9.00,11, 12.00, 581.00, 108, 4.00, 5.00, 9.00, 8.00, 9.00, 108, 393, 220, 220, 171,
70, 40.00, 5.00,7, 8.00, 368.00, 68, 1.00, 3.00, 2.00, 3.00, 2.00, 68, 144, 77, 77, 61,
90, 58.00, 7.00,9, 10.00, 475.00, 88, 3.00, 4.00, 4.00, 6.00, 4.00, 88, 261, 119, 119, 84,
100, 76.00, 7.00,10, 11.00, 526.00, 97, 4.00, 4.00, 7.00, 8.00, 6.00, 97, 335, 200, 200, 161,
170, 101.00, 13.00,18, 18.00, 917.00, 170, 8.00, 8.00, 16.00, 17.00, 17.00, 170, 786, 431, 431, 328,
